"","Treatment","Subject","Task","Time","Choice","Reward","Trial","Day","Ones","AllTrials"
"10167","T",2.4,"0P005_WTR",2934,1,1,28,9,1,563
"10168","T",2.4,"0P005_WTR",4924,1,-1,28,10,1,663
"10169","S",3.1,"0P005_WTL",5529,1,1,28,1,1,28
"10170","S",3.1,"0P005_WTL",8975,1,1,28,2,1,66
"10171","S",3.1,"0P005_WTL",6475,1,1,28,4,1,151
"10172","S",3.1,"0P005_WTL",6958,-1,-1,28,5,1,237
"10173","S",3.1,"0P005_WTR",9176,1,1,28,6,1,335
"10174","S",3.1,"0P005_WTR",3682,1,1,28,7,1,391
"10175","S",3.1,"0P005_WTR",4250,1,1,28,8,1,491
"10176","S",3.1,"0P005_WTR",3799,1,-1,28,9,1,590
"10177","S",3.1,"0P005_WTR",4436,1,1,28,10,1,690
"10178","S",4.2,"0P005_WTL",5516,1,-1,28,3,1,64
"10179","S",4.2,"0P005_WTL",12745,1,1,28,4,1,134
"10180","S",4.2,"0P005_WTL",3245,1,-1,28,5,1,198
"10181","S",4.2,"0P005_WTR",5581,-1,1,28,6,1,298
"10182","S",4.2,"0P005_WTR",3403,1,-1,28,7,1,398
"10183","S",4.2,"0P005_WTR",2308,1,1,28,8,1,498
"10184","S",4.2,"0P005_WTR",2933,1,1,28,9,1,598
"10185","S",4.2,"0P005_WTR",3443,1,1,28,10,1,698
"10186","S",5.1,"0P005_WTL",3949,-1,-1,28,1,1,28
"10187","S",5.1,"0P005_WTL",6229,1,-1,28,2,1,128
"10188","S",5.1,"0P005_WTL",10181,1,1,28,3,1,223
"10189","S",5.1,"0P005_WTL",4236,1,-1,28,4,1,317
"10190","S",5.1,"0P005_WTL",7066,1,1,28,5,1,417
"10191","S",5.1,"0P005_WTR",8606,1,1,28,6,1,467
"10192","S",5.1,"0P005_WTR",3500,1,1,28,7,1,559
"10193","S",5.1,"0P005_WTR",2591,1,1,28,8,1,659
"10194","S",5.1,"0P005_WTR",2812,1,NA,28,9,1,759
"10195","S",5.1,"0P005_WTR",3606,1,1,28,10,1,859
"10196","S",5.2,"0P005_WTL",6005,1,-1,28,2,1,52
"10197","S",5.2,"0P005_WTL",4038,1,1,28,3,1,152
"10198","S",5.2,"0P005_WTL",4826,1,1,28,4,1,226
"10199","S",5.2,"0P005_WTL",4638,1,1,28,5,1,326
"10200","S",5.2,"0P005_WTR",3688,-1,1,28,6,1,426
"10201","S",5.2,"0P005_WTR",3681,-1,1,28,7,1,526
"10202","S",5.2,"0P005_WTR",5381,-1,-1,28,8,1,626
"10203","S",5.2,"0P005_WTR",2700,1,1,28,9,1,712
"10204","S",5.2,"0P005_WTR",7491,1,1,28,10,1,812
"10205","T",6.3,"0P005_WTL",5720,1,1,28,2,1,51
"10206","T",6.3,"0P005_WTL",6263,1,1,28,3,1,151
"10207","T",6.3,"0P005_WTL",4341,1,1,28,4,1,250
"10208","T",6.3,"0P005_WTL",4541,1,1,28,5,1,350
"10209","T",6.3,"0P005_WTR",3269,-1,1,28,6,1,450
"10210","T",6.3,"0P005_WTR",3333,1,1,28,7,1,550
"10211","T",6.3,"0P005_WTR",4678,-1,-1,28,8,1,650
"10212","T",6.3,"0P005_WTR",3528,-1,1,28,9,1,750
"10213","T",6.3,"0P005_WTR",2919,1,1,28,10,1,850
"10214","T",6.4,"0P005_WTL",3469,1,-1,28,1,1,28
"10215","T",6.4,"0P005_WTL",3937,1,1,28,2,1,128
"10216","T",6.4,"0P005_WTL",3718,1,1,28,3,1,206
"10217","T",6.4,"0P005_WTL",3009,1,1,28,4,1,275
"10218","T",6.4,"0P005_WTL",3126,1,1,28,5,1,375
"10219","T",6.4,"0P005_WTR",2467,-1,-1,28,6,1,475
"10220","T",6.4,"0P005_WTR",2759,-1,-1,28,7,1,575
"10221","T",6.4,"0P005_WTR",3128,-1,1,28,8,1,675
"10222","T",6.4,"0P005_WTR",3840,1,1,28,9,1,775
"10223","T",6.4,"0P005_WTR",3251,1,1,28,10,1,875
"10224","S",7.1,"0P005_WTL",3254,1,1,28,1,1,28
"10225","S",7.1,"0P005_WTL",6178,1,1,28,3,1,116
"10226","S",7.1,"0P005_WTL",11115,1,1,28,4,1,146
"10227","S",7.1,"0P005_WTL",10825,1,1,28,5,1,218
"10228","S",7.1,"0P005_WTR",13483,-1,-1,28,6,1,307
"10229","S",7.1,"0P005_WTR",3826,1,1,28,7,1,357
"10230","S",7.1,"0P005_WTR",4509,1,1,28,8,1,457
"10231","S",7.1,"0P005_WTR",3439,1,1,28,9,1,529
"10232","S",7.1,"0P005_WTR",3272,1,1,28,10,1,629
"10233","S",7.4,"0P005_WTL",14995,1,1,28,4,1,41
"10234","T",8.2,"0P005_WTL",7660,-1,1,28,1,1,28
"10235","T",8.2,"0P005_WTL",5405,1,1,28,3,1,130
"10236","T",8.2,"0P005_WTL",2929,1,-1,28,4,1,230
"10237","T",8.2,"0P005_WTL",2645,-1,-1,28,5,1,330
"10238","T",8.2,"0P005_WTR",2811,-1,-1,55,6,1,457
"10239","S",8.2,"0P005_WTR",3318,-1,-1,56,6,1,458
"10240","T",8.2,"0P005_WTR",3519,-1,-1,28,7,1,630
"10241","T",8.2,"0P005_WTR",2688,-1,-1,28,8,1,731
"10242","T",8.2,"0P005_WTR",4354,1,1,28,9,1,831
"10243","T",8.2,"0P005_WTR",2566,-1,-1,28,10,1,931
"10244","T",8.3,"0P005_WTL",4031,1,1,28,1,1,28
"10245","T",8.3,"0P005_WTL",6829,1,-1,28,3,1,102
"10246","T",8.3,"0P005_WTL",4583,1,1,28,4,1,147
"10247","T",8.3,"0P005_WTL",6717,1,1,28,5,1,246
"10248","T",8.3,"0P005_WTR",4279,-1,-1,28,6,1,321
"10249","T",8.3,"0P005_WTR",4604,1,1,28,7,1,421
"10250","T",8.3,"0P005_WTR",4353,1,1,28,8,1,517
"10251","T",8.3,"0P005_WTR",5213,1,-1,28,9,1,617
"10252","T",8.3,"0P005_WTR",4804,1,1,28,10,1,714
"10253","S",9.1,"0P005_WTL",2463,-1,-1,28,1,1,28
"10254","S",9.1,"0P005_WTL",3315,1,1,28,2,1,63
"10255","S",9.1,"0P005_WTL",3776,1,-1,28,3,1,158
"10256","S",9.1,"0P005_WTL",2579,1,1,28,4,1,198
"10257","S",9.1,"0P005_WTR",7409,-1,1,28,8,1,326
"10258","S",9.1,"0P005_WTR",3238,1,1,28,9,1,416
"10259","S",9.1,"0P005_WTR",3152,1,1,28,10,1,516
"10260","S",9.2,"0P005_WTL",3876,1,1,28,2,1,36
"10261","S",9.2,"0P005_WTL",3326,1,-1,28,4,1,151
"10262","S",9.2,"0P005_WTL",2717,1,1,28,5,1,251
"10263","S",9.2,"0P005_WTR",2833,-1,-1,28,7,1,351
"10264","S",9.2,"0P005_WTR",2446,-1,-1,28,8,1,452
"10265","S",9.2,"0P005_WTR",2795,1,1,28,9,1,552
"10266","S",9.2,"0P005_WTR",2455,1,1,28,10,1,652
"10267","S",10.3,"0P005_WTL",9190,1,1,28,2,1,46
"10268","S",10.3,"0P005_WTL",8689,1,1,28,3,1,87
"10269","S",10.3,"0P005_WTL",2813,1,1,28,4,1,125
"10270","S",10.3,"0P005_WTL",3934,1,1,28,5,1,225
"10271","S",10.3,"0P005_WTR",3580,1,-1,28,6,1,325
"10272","S",10.3,"0P005_WTR",4052,1,-1,28,7,1,425
"10273","S",10.3,"0P005_WTR",2920,1,-1,28,8,1,525
"10274","S",10.3,"0P005_WTR",3071,1,1,28,9,1,625
"10275","S",10.3,"0P005_WTR",3970,1,1,28,10,1,726
"10276","S",10.4,"0P005_WTL",4156,1,1,28,2,1,31
"10277","S",10.4,"0P005_WTL",3768,1,1,28,4,1,70
"10278","S",10.4,"0P005_WTL",13468,1,-1,28,5,1,171
"10279","S",10.4,"0P005_WTR",3883,-1,-1,28,6,1,232
"10280","S",10.4,"0P005_WTR",5398,1,NA,28,7,1,332
"10281","S",10.4,"0P005_WTR",3954,1,1,28,8,1,432
"10282","S",10.4,"0P005_WTR",4910,1,1,28,9,1,532
"10283","S",10.4,"0P005_WTR",4656,1,1,28,10,1,632
"10284","T",11.1,"0P005_WTL",4689,1,-1,28,1,1,28
"10285","T",11.1,"0P005_WTL",15169,1,1,28,2,1,116
"10286","T",11.1,"0P005_WTL",4460,1,1,28,4,1,163
"10287","T",11.1,"0P005_WTL",5848,1,1,28,5,1,263
"10288","T",11.1,"0P005_WTR",10007,-1,-1,28,6,1,349
"10289","T",11.1,"0P005_WTR",7842,1,1,28,7,1,417
"10290","T",11.1,"0P005_WTR",4393,1,1,28,8,1,497
"10291","T",11.1,"0P005_WTR",4423,1,1,28,9,1,597
"10292","T",11.1,"0P005_WTR",3754,1,1,28,10,1,697
"10293","T",11.3,"0P005_WTL",3125,1,1,28,3,1,56
"10294","T",11.3,"0P005_WTL",6712,1,1,28,4,1,84
"10295","T",11.3,"0P005_WTL",2529,1,NA,28,5,1,172
"10296","T",11.3,"0P005_WTR",2792,-1,-1,28,6,1,273
"10297","T",11.3,"0P005_WTR",3223,-1,NA,28,7,1,373
"10298","T",11.3,"0P005_WTR",3452,1,1,28,8,1,474
"10299","T",11.3,"0P005_WTR",2886,1,1,28,9,1,574
"10300","T",11.3,"0P005_WTR",2706,-1,-1,28,10,1,675
"10301","T",12.2,"0P005_WTL",4215,-1,-1,28,1,1,28
"10302","T",12.2,"0P005_WTL",3866,1,1,28,2,1,58
"10303","T",12.2,"0P005_WTL",4312,1,1,28,3,1,154
"10304","T",12.2,"0P005_WTL",4221,1,1,28,4,1,248
"10305","T",12.2,"0P005_WTL",2535,1,-1,28,5,1,348
"10306","T",12.2,"0P005_WTR",2628,-1,-1,28,6,1,448
"10307","T",12.2,"0P005_WTR",2550,-1,-1,28,7,1,548
"10308","T",12.2,"0P005_WTR",2044,-1,-1,28,8,1,648
"10309","T",12.2,"0P005_WTR",2920,-1,-1,28,9,1,748
"10310","T",12.2,"0P005_WTR",2905,1,1,28,10,1,849
"10311","T",12.4,"0P005_WTL",4063,1,1,28,2,1,29
"10312","T",12.4,"0P005_WTL",2935,1,1,28,3,1,129
"10313","T",12.4,"0P005_WTL",3062,1,1,28,4,1,163
"10314","T",12.4,"0P005_WTL",2043,1,1,28,5,1,263
"10315","T",12.4,"0P005_WTR",3021,-1,-1,28,6,1,363
"10316","T",12.4,"0P005_WTR",3229,-1,1,28,7,1,463
"10317","T",12.4,"0P005_WTR",2671,-1,1,28,8,1,563
"10318","T",12.4,"0P005_WTR",2689,-1,1,28,9,1,663
"10319","T",12.4,"0P005_WTR",2919,1,1,28,10,1,764
"10320","T",13.1,"0P005_WTL",2722,-1,-1,28,1,1,28
"10321","T",13.1,"0P005_WTL",4024,1,1,28,2,1,106
"10322","T",13.1,"0P005_WTL",5778,-1,1,28,3,1,176
"10323","T",13.1,"0P005_WTL",4496,1,1,28,4,1,256
"10324","T",13.1,"0P005_WTL",5756,1,1,28,5,1,356
"10325","T",13.1,"0P005_WTR",3151,-1,-1,28,6,1,456
"10326","T",13.1,"0P005_WTR",3668,1,1,28,7,1,556
"10327","T",13.1,"0P005_WTR",2679,-1,-1,28,8,1,656
"10328","T",13.1,"0P005_WTR",4559,1,1,28,9,1,756
"10329","T",13.1,"0P005_WTR",3610,1,1,28,10,1,843
"10330","T",13.2,"0P005_WTL",3371,1,NA,28,4,1,62
"10331","T",13.2,"0P005_WTL",2655,1,1,28,5,1,163
"10332","T",13.2,"0P005_WTR",2298,-1,-1,28,6,1,263
"10333","T",13.2,"0P005_WTR",2396,-1,-1,28,7,1,363
"10334","T",13.2,"0P005_WTR",2233,-1,-1,28,8,1,463
"10335","T",13.2,"0P005_WTR",2829,1,1,28,9,1,563
"10336","T",13.2,"0P005_WTR",2420,1,1,28,10,1,663
"10337","T",14.1,"0P005_WTL",2825,1,1,28,1,1,28
"10338","T",14.3,"0P005_WTL",3587,1,1,28,3,1,28
"10339","T",14.3,"0P005_WTL",3304,1,1,28,4,1,57
