"","L","as.numeric(AIC_q)","as.numeric(alpha_qlearn)","as.numeric(BIC_q)","as.numeric(beta_qlearn)"
"1",1.1,603.686464712019,0.0580187880872787,627.317485827948,4.84679955902052
"2",1.2,888.264836803921,0.024759785673217,911.60557514851,2.96735884452173
"3",2.3,879.42928508235,0.0275535128258087,903.060306198278,3.21563548688913
"4",2.4,1081.91327929033,0.0260254649806992,1105.5482984076,2.6247637733928
"5",6.3,718.909028418381,0.040303585300378,742.544047535641,4.54523934709826
"6",6.4,608.050477232574,1.00916740575281,631.693480384422,3.34582523823174
"7",8.2,1063.0446733919,0.050981683137582,1086.68368651848,2.55295542642393
"8",8.3,667.023668523027,0.0370675938536931,690.654689638955,4.89581164826535
"9",11.1,800.519309399569,0.0455074338110327,824.15432851683,3.88906726494889
"10",11.3,1061.34936949986,0.0329480950916387,1085.00034078183,3.09253584014585
"11",12.2,774.027043522439,0.0516129482369174,797.674032723446,4.01454693003167
"12",12.4,985.471843512782,0.041654099378673,1009.10686263004,3.33873484324432
"13",13.1,765.649098505277,0.856851644320056,789.280119621206,2.78505567468287
"14",13.2,1053.28218949553,0.0238869597271005,1076.92917869653,2.90739718991343
"15",14.3,545.8407233772,0.0338560552464512,569.47574249446,5.2687694926924
"16",18.3,808.257685854041,0.019286449504622,831.892704971302,4.17701758383
"17",18.4,973.894437608584,0.022065199160837,997.533450735163,2.89644028370706
"18",19.1,685.922040077006,0.0359618850799966,709.561053203586,4.47424974591607
"19",19.3,868.96522120834,0.0264388408291979,892.620170610979,3.06477197676039
"20",22.1,958.199373769672,0.113052776980329,981.8303948856,3.06914628976623
"21",22.3,769.988118573759,0.029882230069321,793.62313769102,3.67771432683619
